user_id,job_id,compute_hours,storage_gb,queries_run,date,cloud_provider,region,profile,job_type,instance_type,year,month,day,week,compute_per_query,avg_compute_per_user,usage_intensity
195,job_19,2.08,280.54,150,2026-01-01,gcp,us-east-1,low,ad-hoc,large,2026,1,1,1,0.013866666666666668,0.9985714285714286,medium
129,job_35,0.75,93.39,197,2026-01-01,gcp,us-east-1,low,batch,small,2026,1,1,1,0.0038071065989847717,1.936,low
116,job_19,0.1,142.65,435,2026-01-01,azure,us-west-2,low,ad-hoc,large,2026,1,1,1,0.00022988505747126439,2.5308333333333333,low
138,job_10,5.13,200.79,504,2026-01-01,gcp,us-west-2,medium,streaming,small,2026,1,1,1,0.01017857142857143,4.65,medium
64,job_25,4.75,85.38,350,2026-01-01,azure,sa-east-1,medium,batch,medium,2026,1,1,1,0.013571428571428571,3.45,medium
135,job_15,2.95,164.69,136,2026-01-01,gcp,sa-east-1,low,streaming,large,2026,1,1,1,0.021691176470588238,2.535,medium
97,job_35,3.14,227.68,1320,2026-01-01,aws,us-west-2,high,batch,small,2026,1,1,1,0.0023787878787878787,9.324545454545454,medium
74,job_12,5.22,83.66,837,2026-01-01,azure,us-west-2,medium,batch,small,2026,1,1,1,0.006236559139784946,2.9016,medium
90,job_18,0.33,230.56,5,2026-01-01,aws,sa-east-1,low,batch,small,2026,1,1,1,0.066,2.216,low
36,job_46,1.83,260.25,307,2026-01-01,azure,us-west-2,low,batch,small,2026,1,1,1,0.005960912052117264,2.2348,low
197,job_6,6.98,25.69,168,2026-01-01,gcp,us-west-2,high,ad-hoc,small,2026,1,1,1,0.04154761904761905,8.376333333333333,high
184,job_13,3.44,273.9,232,2026-01-01,aws,us-west-2,low,streaming,medium,2026,1,1,1,0.014827586206896552,2.425135135135135,medium
118,job_48,0.01,366.03,997,2026-01-01,gcp,us-west-2,medium,batch,large,2026,1,1,1,1.0030090270812437e-05,2.977777777777778,low
199,job_12,1.75,468.45,146,2026-01-01,azure,sa-east-1,medium,batch,small,2026,1,1,1,0.011986301369863013,4.5,low
31,job_6,6.67,333.17,101,2026-01-01,azure,sa-east-1,low,ad-hoc,small,2026,1,1,1,0.06603960396039604,1.6996153846153847,high
53,job_1,0.22,204.07,28,2026-01-01,azure,sa-east-1,low,ad-hoc,small,2026,1,1,1,0.007857142857142858,2.477826086956522,low
197,job_9,1.83,7.99,1296,2026-01-01,gcp,us-west-2,high,ad-hoc,large,2026,1,1,1,0.0014120370370370372,8.376333333333333,low
185,job_33,0.12,196.61,331,2026-01-01,aws,sa-east-1,low,streaming,medium,2026,1,1,1,0.00036253776435045317,1.8623529411764705,low
187,job_6,1.71,23.14,438,2026-01-01,gcp,sa-east-1,low,ad-hoc,small,2026,1,1,1,0.0039041095890410956,1.648235294117647,low
